Dates,Whole_House_Consumption,Volts,Amps,Kitchen_Consumption,Laundry_Consumption,HVAC_WaterHeater_Consumption
10/13/2010,1945,241,6,218,514,1243
10/14/2010,2007,241,6,247,552,1198
10/15/2010,1460,241,5,31,700,1131
10/16/2010,613,242,3,0,543,1080
10/17/2010,696,242,3,70,557,1022
10/18/2010,2631,242,8,174,1024,1243
10/19/2010,1764,242,6,110,715,1117
10/20/2010,1562,242,5,177,535,1127
10/21/2010,1124,243,4,30,596,1067
10/22/2010,1525,243,5,112,411,1175
10/23/2010,2191,242,7,194,682,1182
10/24/2010,2337,243,7,218,844,1185
10/25/2010,912,242,3,0,443,1062
10/26/2010,571,245,3,0,561,1039
10/27/2010,1201,246,4,0,497,1109
10/28/2010,1322,246,4,110,591,1117
10/29/2010,1067,246,3,111,590,1027
10/30/2010,2079,243,6,134,513,1221
10/31/2010,1153,245,4,91,570,1046
11/1/2010,1251,246,4,118,280,1158
11/2/2010,1139,245,4,0,263,1137
11/3/2010,1678,243,6,105,254,1238
11/4/2010,1365,241,5,193,470,1108
11/5/2010,1390,242,5,100,252,1154
11/6/2010,1278,241,4,310,350,1150
11/7/2010,998,240,4,103,450,1073
11/8/2010,229,241,2,0,410,1005
11/9/2010,1267,242,4,107,813,1104
11/10/2010,1419,240,5,106,1270,1086
11/11/2010,1648,239,5,252,595,724
11/12/2010,,,,,,
11/13/2010,2051,239,6,114,490,807
11/14/2010,1957,239,6,275,459,510
11/15/2010,1560,240,5,111,587,521
11/16/2010,1286,241,4,0,385,452
11/17/2010,1325,241,5,114,402,506
11/18/2010,1420,241,5,170,397,537
11/19/2010,1325,240,5,0,393,677
11/20/2010,2076,241,6,338,507,657
11/21/2010,535,241,3,0,401,273
11/22/2010,1971,240,6,367,457,584
11/23/2010,1399,241,5,162,369,442
11/24/2010,1566,240,5,111,482,699
11/25/2010,1263,242,4,113,343,292
11/26/2010,1275,240,5,111,312,573
11/27/2010,1135,242,4,0,298,1153
11/28/2010,1895,242,5,284,290,1210
11/29/2010,1579,243,5,113,429,1091
11/30/2010,1589,244,5,109,270,1166
12/1/2010,1146,244,6,53,325,768
12/2/2010,1647,244,5,119,248,1229
12/3/2010,1448,243,5,137,328,1204
12/4/2010,1152,242,4,31,516,1168
12/5/2010,1928,242,6,73,457,1244
12/6/2010,1864,240,6,194,730,1235
12/7/2010,978,240,3,161,489,1054
12/8/2010,216,241,2,0,385,1003
12/9/2010,1476,242,5,205,863,1099
12/10/2010,1357,240,5,63,576,1105
12/11/2010,1774,239,5,221,405,602
12/12/2010,1691,245,5,112,437,1111
12/13/2010,2181,244,6,162,315,1197
12/14/2010,1767,246,5,111,371,1160
12/15/2010,1798,246,6,112,297,1211
12/16/2010,1287,247,4,113,416,1119
12/17/2010,1499,247,5,0,229,1215
12/18/2010,1674,247,5,116,225,1170
12/19/2010,2019,246,6,113,376,975
12/20/2010,2096,247,3,48,234,426
12/21/2010,1992,246,6,172,213,622
12/22/2010,1864,246,5,0,216,865
12/23/2010,1757,247,4,114,213,610
12/24/2010,2779,246,8,182,476,806
12/25/2010,2540,244,6,106,431,1210
12/26/2010,2396,242,6,114,400,1241
12/27/2010,2562,243,6,316,243,1176
12/28/2010,2163,244,6,219,374,1226
12/29/2010,2188,243,6,56,267,1132
12/30/2010,2567,241,7,311,430,1169
12/31/2010,3320,241,6,0,305,1300
